Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,Time(s) 
12,750,863,113,0,0.15,0,646,104,19,19,113,0.005756300000939518
13,750,863,113,0,0.15,0,646,104,19,19,113,0.005741299995861482
14,750,863,113,0,0.15,0,646,104,19,19,113,0.005771800002548844
15,750,863,113,0,0.15,0,646,104,19,19,113,0.005750999996962491
16,750,863,113,0,0.15,0,646,104,19,19,113,0.005853300004673656
17,750,863,113,0,0.15,0,646,104,19,19,113,0.0057856000057654455
18,750,863,113,0,0.15,0,646,104,19,19,113,0.0058107000004383735
19,750,863,113,0,0.15,0,646,104,19,19,113,0.005819300000439398
20,750,863,113,0,0.15,0,646,104,19,19,113,0.005781100000604056
21,750,863,113,0,0.15,0,646,104,19,19,113,0.005782599997473881
22,750,863,113,0,0.15,0,646,104,19,19,113,0.00586969999858411
23,750,863,113,0,0.15,0,646,104,19,19,113,0.005929300001298543
24,750,863,113,0,0.15,0,646,104,19,19,113,0.005904300000111107
25,750,863,113,0,0.15,0,646,104,19,19,113,0.0058426999967196025
26,750,863,113,0,0.15,0,646,104,19,19,113,0.00581870000314666
27,750,863,113,0,0.15,0,646,104,19,19,113,0.006277300002693664
28,750,863,113,0,0.15,0,646,104,19,19,113,0.006056600002921186
29,750,863,113,0,0.15,0,646,104,19,19,113,0.005836500000441447
0,750,900,150,0,0.2,0,637,113,0,0,150,0.005782100000942592
1,750,900,150,0,0.2,0,637,113,0,0,150,0.005565999999816995
2,750,900,150,0,0.2,0,637,113,0,0,150,0.005615299996861722
3,750,900,150,0,0.2,0,637,113,0,0,150,0.005592399997112807
4,750,900,150,0,0.2,0,637,113,0,0,150,0.005571499998040963
5,750,900,150,0,0.2,0,637,113,0,0,150,0.00556269999651704
6,750,900,150,0,0.2,0,637,113,0,0,150,0.005608799998299219
7,750,900,150,0,0.2,0,637,113,0,0,150,0.005641800002194941
8,750,900,150,0,0.2,0,637,113,0,0,150,0.005568900000071153
9,750,900,150,0,0.2,0,637,113,0,0,150,0.005571699999563862
10,750,900,150,0,0.2,0,637,113,0,0,150,0.005572399997618049
11,750,900,150,0,0.2,0,637,113,0,0,150,0.005548000000999309
