Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,Time(s) 
7,750,750,113,0,0.15,0,640,110,19,19,113,0.008841700000630226
8,750,750,113,0,0.15,0,640,110,19,19,113,0.008817499998258427
9,750,750,113,0,0.15,0,640,110,19,19,113,0.008858200002578087
10,750,750,113,0,0.15,0,640,110,19,19,113,0.008850099999108352
11,750,750,113,0,0.15,0,640,110,19,19,113,0.00883369999792194
12,750,750,113,0,0.15,0,640,110,19,19,113,0.008813400003418792
13,750,750,113,0,0.15,0,640,110,19,19,113,0.008921400003600866
14,750,750,113,0,0.15,0,640,110,19,19,113,0.008948499998950865
15,750,750,113,0,0.15,0,640,110,19,19,113,0.008948499998950865
16,750,750,113,0,0.15,0,640,110,19,19,113,0.009041700002853759
17,750,750,113,0,0.15,0,640,110,19,19,113,0.008884300004865509
18,750,750,113,0,0.15,0,640,110,19,19,113,0.008881999994628131
19,750,750,113,0,0.15,0,640,110,19,19,113,0.008964600005128887
20,750,750,113,0,0.15,0,640,110,19,19,113,0.009036100003868341
21,750,750,113,0,0.15,0,640,110,19,19,113,0.008980600003269501
22,750,750,113,0,0.15,0,640,110,19,19,113,0.009084299999813084
23,750,750,113,0,0.15,0,640,110,19,19,113,0.008906700000807177
24,750,750,113,0,0.15,0,640,110,19,19,113,0.008928300005209167
25,750,750,113,0,0.15,0,640,110,19,19,113,0.009130999998888
26,750,750,113,0,0.15,0,640,110,19,19,113,0.008880299996235408
27,750,750,113,0,0.15,0,640,110,19,19,113,0.009088999999221414
28,750,750,113,0,0.15,0,640,110,19,19,113,0.008967900001152884
29,750,750,113,0,0.15,0,640,110,19,19,113,0.009207699993567076
0,750,750,150,0,0.2,0,655,95,0,0,150,0.008295100000395905
1,750,750,150,0,0.2,0,655,95,0,0,150,0.008337600003869738
2,750,750,150,0,0.2,0,655,95,0,0,150,0.008256099994468968
3,750,750,150,0,0.2,0,655,95,0,0,150,0.008280399997602217
4,750,750,150,0,0.2,0,655,95,0,0,150,0.0084121000036248
5,750,750,150,0,0.2,0,655,95,0,0,150,0.00858449999941513
6,750,750,150,0,0.2,0,655,95,0,0,150,0.008352400000148918
7,750,750,150,0,0.2,0,655,95,0,0,150,0.008284700001240708
8,750,750,150,0,0.2,0,655,95,0,0,150,0.008278199995402247
9,750,750,150,0,0.2,0,655,95,0,0,150,0.008231300002080388
10,750,750,150,0,0.2,0,655,95,0,0,150,0.008910100004868582
11,750,750,150,0,0.2,0,655,95,0,0,150,0.008353200006240513
12,750,750,150,0,0.2,0,655,95,0,0,150,0.008323699999891687
13,750,750,150,0,0.2,0,655,95,0,0,150,0.008311199999297969
14,750,750,150,0,0.2,0,655,95,0,0,150,0.008262800001830328
15,750,750,150,0,0.2,0,655,95,0,0,150,0.008416000004217494
16,750,750,150,0,0.2,0,655,95,0,0,150,0.008359800005564466
17,750,750,150,0,0.2,0,655,95,0,0,150,0.008670099996379577
18,750,750,150,0,0.2,0,655,95,0,0,150,0.008473400004731957
19,750,750,150,0,0.2,0,655,95,0,0,150,0.008428499997535255
20,750,750,150,0,0.2,0,655,95,0,0,150,0.008549400001356844
21,750,750,150,0,0.2,0,655,95,0,0,150,0.008859699999447912
22,750,750,150,0,0.2,0,655,95,0,0,150,0.00834029999532504
23,750,750,150,0,0.2,0,655,95,0,0,150,0.008837499997753184
24,750,750,150,0,0.2,0,655,95,0,0,150,0.008582499998738058
25,750,750,150,0,0.2,0,655,95,0,0,150,0.008750399996642955
26,750,750,150,0,0.2,0,655,95,0,0,150,0.008820200004265644
27,750,750,150,0,0.2,0,655,95,0,0,150,0.008477099996525794
28,750,750,150,0,0.2,0,655,95,0,0,150,0.008397199999308214
29,750,750,150,0,0.2,0,655,95,0,0,150,0.008416500000748783
0,1000,1000,50,0,0.05,0,855,145,75,75,50,0.014733399999386165
1,1000,1000,50,0,0.05,0,855,145,75,75,50,0.015933600006974302
2,1000,1000,50,0,0.05,0,855,145,75,75,50,0.015405300000566058
3,1000,1000,50,0,0.05,0,855,145,75,75,50,0.014607199998863507
4,1000,1000,50,0,0.05,0,855,145,75,75,50,0.015198499997495674
5,1000,1000,50,0,0.05,0,855,145,75,75,50,0.015360899997176602
6,1000,1000,50,0,0.05,0,855,145,75,75,50,0.014696599995659199
7,1000,1000,50,0,0.05,0,855,145,75,75,50,0.014897599998221267
8,1000,1000,50,0,0.05,0,855,145,75,75,50,0.01637289999780478
9,1000,1000,50,0,0.05,0,855,145,75,75,50,0.013430399994831532
10,1000,1000,50,0,0.05,0,855,145,75,75,50,0.012875400003395043
11,1000,1000,50,0,0.05,0,855,145,75,75,50,0.012969000003067777
12,1000,1000,50,0,0.05,0,855,145,75,75,50,0.01266619999660179
13,1000,1000,50,0,0.05,0,855,145,75,75,50,0.012730899994494393
14,1000,1000,50,0,0.05,0,855,145,75,75,50,0.012299900001380593
15,1000,1000,50,0,0.05,0,855,145,75,75,50,0.012178199998743366
